"compound","SMILES"
"C6H5NO8","C(=O)(N(=O)(=O))C(=O)C1OOC(C1(O))C(=O)"
"C7H6N2O11","C(=O)(N(=O)(=O))C(=O)C1OOC(C1(O))C(=O)C(ON(=O)(=O))"
"C6H4N2O14","C(=O)(N(=O)(=O))C(=O)C1OOC(OO)(C1(O))C(=O)(OON(=O)(=O))"
"C4H3NO6","C(=O)(N(=O)(=O))C(=O)CC(=O)(O)"
"C4H3NO7","C(=O)(N(=O)(=O))C(=O)CC(=O)(OO)"
"C6H3NO8","C(=O)(N(=O)(=O))C(=O)CC(=O)C(=O)C(=O)(O)"
"C7H6N2O13","C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(C(OO))C(=O)(OON(=O)(=O))"
"C7H7NO8","C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(C)C(=O)(O)"
"C7H7NO9","C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(C)C(=O)(OO)"
"C7H6N2O11","C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(C)C(=O)(OON(=O)(=O))"
"C6H5NO9","C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(O)C(=O)(O)"
"C6H5NO10","C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(O)C(=O)(OO)"
"C6H4N2O12","C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(O)C(=O)(OON(=O)(=O))"
"C5H5NO7","C(=O)(N(=O)(=O))C(=O)CC(=O)C(OO)"
"C5H3NO8","C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)"
"C6H3NO9","C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(=O)"
"C6H3NO10","C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(=O)(O)"
"C7H4N2O12","C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(=O)C(ON(=O)(=O))"
"C6H5NO10","C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(OO)"
"C6H5NO9","C(=O)(N(=O)(=O))C(=O)CC(C(=O)(O))OOC(=O)"
"C5H5NO6","C(=O)(N(=O)(=O))C(=O)CC(O)C(=O)"
"C7H4N2O11","C(=O)(N(=O)(=O))C(=O)CC1(C(ON(=O)(=O)))OOC(=O)C1(=O)"
"C7H5NO10","C(=O)(N(=O)(=O))C(=O)CC1(C(OO))OOC(=O)C1(=O)"
"C7H6N2O12","C(=O)(N(=O)(=O))C(=O)CC1(O)OOC(=O)C1(O)C(ON(=O)(=O))"
"C7H7NO11","C(=O)(N(=O)(=O))C(=O)CC1(O)OOC(=O)C1(O)C(OO)"
"C7H6N2O13","C(=O)(N(=O)(=O))C(=O)CC1(ON(=O)(=O))OOC(=O)C1(O)C(OO)"
"C3HNO6","C(=O)(N(=O)(=O))C(=O)OC(=O)"
"C3HNO7","C(=O)(N(=O)(=O))C(=O)OC(=O)(O)"
"C4H3NO6","C(=O)(N(=O)(=O))C(=O)OC(=O)C"
"C4HNO9","C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)(OO)"
"C6H3NO8","C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(=O)C"
"C6H3NO10","C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(=O)C(OO)"
"C7H5NO10","C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(C(O))C(=O)(O)"
"C7H5NO8","C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(C)C(=O)"
